Embedding Mode,Dimensions,Averge Score
cbow,50,0.18245714285714287
cbow,100,0.21503333333333333
cbow,200,0.20350000000000001
sg,50,0.29123333333333334
sg,100,0.29924761904761904
sg,200,0.29373333333333335
