,Node number,Edge number,Coverage,Avg. degree,Runtime
MAE ,31.6533,88.0700,0.0047,0.1231,31.4139
Alpha,0.0568,0.0461,0.0487,0.0517,0.0870
Beta ,0.0631,0.0585,0.0466,0.0675,0.0163
Max depth ,0.2695,0.2636,0.0965,0.2595,0.5326
Alpha_Beta ,0.0531,0.0605,0.0551,0.0549,0.1395
Alpha_Max_depth,0.5155,0.5327,0.6448,0.5257,0.2077
Beta_Max_depth ,0.0419,0.0387,0.1083,0.0406,0.0170
,,,,,
,, ,,,
