Embedding Mode,Dimensions,conf,Pearson Score,Spearman Score,Harmonic Mean
cbow,50,without_weights,0.110020033755094,0.035869903129482,0.054101167460507
cbow,100,without_weights,0.102326355094587,0.028022090561161,0.043995896918125
cbow,200,without_weights,0.094211747899182,0.019696581921174,0.032581452354885
sg,50,without_weights,0.061709444093966,-0.020889345020696,-0.06315858598973
sg,100,without_weights,0.042751881890341,-0.037583695428716,-0.621794016102867
sg,200,without_weights,0.035771242054765,-0.03980024830184,0.70672728138772
