Embedding Mode,Dimensions,conf,Pearson Score,Spearman Score,Harmonic Mean
cbow,50,with_weights,0.037923890618297,-0.040420798608189,1.22784976565122
cbow,100,with_weights,0.034929946474904,-0.0432574432707,0.362889404856838
cbow,200,with_weights,0.032785630728244,-0.045945056820023,0.228936681004716
sg,50,with_weights,0.103162257916775,-0.000709148883923,-0.00142811478842
sg,100,with_weights,0.097167096321286,-0.004474627732293,-0.009381271002578
sg,200,with_weights,0.096743655352097,-0.00319067543436,-0.006598990322565
