Embedding Mode,Dimensions,conf,Pearson Score,Spearman Score,Harmonic Mean
cbow,50,with_weights,0.108362209787909,0.050213410871524,0.068626389610198
cbow,100,with_weights,0.09721392355037,0.037770770349279,0.054403868692003
cbow,200,with_weights,0.094511443948472,0.033549600968305,0.049520464766943
sg,50,with_weights,0.028133338745296,-0.043024431500771,0.162569789284261
sg,100,with_weights,0.022908597995763,-0.050017381769715,0.084535558755976
sg,200,with_weights,0.016755720609233,-0.049057538736729,0.050894622067701
