Embedding Mode,Dimensions,conf,Pearson Score,Spearman Score,Harmonic Mean
cbow,50,with_weights,0.144763161574523,0.124233130497542,0.133714711118073
cbow,100,with_weights,0.14388685049396,0.118751792748487,0.130116583288302
cbow,200,with_weights,0.139760191675662,0.114084964531019,0.125624114703881
sg,50,with_weights,0.108026578824107,0.052786608063182,0.07091901836124
sg,100,with_weights,0.102609431833299,0.045795272428969,0.063327195831789
sg,200,with_weights,0.099982012369608,0.039939309946222,0.05707797089086
