Embedding Mode,Dimensions,conf,Pearson Score,Spearman Score,Harmonic Mean
cbow,50,with_weights,0.111158828608018,0.056157863852848,0.074618285494392
cbow,100,with_weights,0.103578156314561,0.04503750109633,0.062778059995057
cbow,200,with_weights,0.103922658741345,0.047942042295573,0.065614516959208
sg,50,with_weights,0.028673269734982,-0.039202800700142,0.213508556565575
sg,100,with_weights,0.019600948711889,-0.054962100742345,0.060931799779628
sg,200,with_weights,0.019092455291441,-0.049434813043439,0.062212169903671
