Embedding Mode,Dimensions,conf,Pearson Score,Spearman Score,Harmonic Mean
cbow,50,without_weights,0.017269218212347,-0.06246103757952,0.047736661317684
cbow,100,without_weights,0.011463910801029,-0.067759240378765,0.027596814637172
cbow,200,without_weights,0.013971367742713,-0.065102540698055,0.035577964850205
sg,50,without_weights,0.044787882869769,-0.036810485174936,-0.413333711433819
sg,100,without_weights,0.034722506880826,-0.047763856053835,0.254341908721621
sg,200,without_weights,0.038708697082394,-0.042106988186301,0.959250753345982
