Alpha,Beta,Max hops,Node number,Edge number,Density,Coverage,Avg. degree,Runtime
0.1,0.0025,2,0.020833333333333332,0.008415934168692725,0.004497791,0.1818181919999997,0.0,0.0
0.1,0.0025,3,0.44583333333333336,0.7413502898821769,0.00495806,0.6363636479999997,0.9894835415499246,0.2726697050217138
0.1,0.0025,4,0.45208333333333334,0.7319992519169628,0.004919972,0.9090909119999999,0.9619009125810162,0.39083806395246273
0.1,0.005,2,0.00625,0.0037404151860856555,0.004530317,0.1818181919999997,0.008140655115923587,0.03689853687289926
0.1,0.005,3,0.22708333333333333,0.5788292500467552,0.005290103,0.45454545599999996,0.9744015989284928,0.190203079118445
0.1,0.005,4,0.25,0.5848139143444923,0.005227134,0.545454544,0.9525772445409604,0.26844548207098984
0.1,0.0075,2,0.004166666666666667,0.002618290630259959,0.004533733,0.1818181919999997,0.008261191219486298,0.02990286226582647
0.1,0.0075,3,0.16666666666666666,0.5174864409949504,0.005348692,0.2727272799999998,0.9338686749347256,0.114444163149016
0.1,0.0075,4,0.16875,0.5187955863100804,0.005344654,0.45454545599999996,0.9335314444769374,0.16200770915887971
0.1,0.01,2,0.0,0.0,0.004539537,0.1818181919999997,0.0076375456883044455,0.03949992912728783
0.1,0.01,3,0.11041666666666666,0.38731999251916965,0.005214361,0.0,0.7319035613336762,0.08347267548675433
0.1,0.01,4,0.14583333333333334,0.44585749018141013,0.005241255,0.1818181919999997,0.8083760027337924,0.11535640457713932
0.25,0.0025,2,0.15,0.1421357770712549,0.004460273,0.1818181919999997,0.1342829972463267,0.045678672860445
0.25,0.0025,3,0.6375,0.8593603890031793,0.004653851,0.9090909119999999,0.9549554847622866,0.4178427688108917
0.25,0.0025,4,0.6166666666666667,0.8245745277725828,0.004643495,0.9090909119999999,0.9166799146211728,0.5764173110607822
0.25,0.005,2,0.09375,0.10734991584065831,0.004539324,0.09090910399999963,0.12976700523561618,0.04465096163567679
0.25,0.005,3,0.49375,0.7708995698522536,0.004878485,0.8181818239999998,0.9805764345244532,0.3106665935637165
0.25,0.005,4,0.5041666666666667,0.7508883486066953,0.004808023,0.9090909119999999,0.9266247853177989,0.4347381415290373
0.25,0.0075,2,0.008333333333333333,0.0044884982233027865,0.004525867,0.1818181919999997,0.007157550764214441,0.030241176322311387
